"Sample","AvgDistance","Type"
"TCGA-77-6843-01A-11R-1949-07",0.0529338807207926,"TP"
"TCGA-85-A50Z-01A-21R-A262-07",0.0529270751894921,"TP"
"TCGA-60-2720-01A-01R-0851-07",0.0528939672949595,"TP"
"TCGA-90-7769-01A-11R-2125-07",0.0528700208695058,"TP"
"TCGA-77-7139-01A-11R-2045-07",0.0528672357614146,"TP"
"TCGA-33-6737-01A-11R-1820-07",0.0528617118849656,"TP"
"TCGA-21-5787-01A-01R-1635-07",0.0528016210633585,"TP"
"TCGA-56-8082-01A-11R-2247-07",0.0527620104343672,"TP"
"TCGA-85-6798-01A-11R-1949-07",0.0527509882198068,"TP"
"TCGA-66-2755-01A-01R-0851-07",0.0527454479973809,"TP"
"TCGA-34-5231-01A-21R-1820-07",0.0526936377370128,"TP"
"TCGA-33-AASI-01A-22R-A405-07",0.052691580929698,"TP"
"TCGA-90-A59Q-01A-11R-A26W-07",0.0525766457392153,"TP"
"TCGA-NK-A5CR-01A-11R-A26W-07",0.0524991977818355,"TP"
"TCGA-77-7463-01A-11R-2045-07",0.0524771834889686,"TP"
"TCGA-18-3409-01A-01R-0980-07",0.0524598926977432,"TP"
"TCGA-21-A5DI-01A-31R-A26W-07",0.0524561325863934,"TP"
"TCGA-21-5783-01A-41R-2187-07",0.0524300681874401,"TP"
"TCGA-34-A5IX-01A-12R-A27Q-07",0.0523398614507376,"TP"
"TCGA-56-A62T-01A-11R-A405-07",0.0523143198621584,"TP"
"TCGA-37-A5EN-01A-21R-A26W-07",0.0522448516150647,"TP"
"TCGA-66-2768-01A-01R-0851-07",0.0522263611081916,"TP"
"TCGA-58-8388-01A-11R-2326-07",0.0522158876513034,"TP"
"TCGA-77-8139-01A-11R-2247-07",0.0522143783210486,"TP"
"TCGA-52-7809-01A-21R-2125-07",0.0521728987566934,"TP"
"TCGA-63-5131-01A-01R-1443-07",0.0520905752748415,"TP"
"TCGA-77-7138-01A-41R-2045-07",0.0520535728065223,"TP"
"TCGA-77-6845-01A-11R-1949-07",0.0520284345028747,"TP"
"TCGA-22-5483-01A-01R-1820-07",0.0518868346003734,"TP"
"TCGA-63-6202-01A-11R-1820-07",0.0518514403314119,"TP"
"TCGA-63-A5MN-01A-22R-A27Q-07",0.0518493822213636,"TP"
"TCGA-63-A5MI-01A-12R-A27Q-07",0.0517595760027318,"TP"
"TCGA-92-8065-01A-11R-2247-07",0.0517539090089997,"TP"
"TCGA-85-8354-01A-31R-2326-07",0.0517390547413486,"TP"
"TCGA-77-8007-01A-11R-2187-07",0.0516398311075917,"TP"
"TCGA-77-8130-01A-11R-2247-07",0.0515517718668017,"TP"
"TCGA-34-5929-01A-11R-1820-07",0.0514360777160756,"TP"
"TCGA-60-2703-01A-11R-2045-07",0.0514319278551976,"TP"
