"Sample","LibrarySize","Type"
"TCGA-46-3768-01A-01R-0980-07",62671733,"TP"
"TCGA-22-0940-01A-01R-0692-07",62620774,"TP"
"TCGA-52-7810-01A-11R-2125-07",62434709,"TP"
"TCGA-90-7769-01A-11R-2125-07",62309941,"TP"
"TCGA-21-5787-01A-01R-1635-07",62066683,"TP"
"TCGA-77-7140-01A-41R-2045-07",62031906,"TP"
"TCGA-66-2786-01A-01R-0851-07",61903114,"TP"
"TCGA-60-2723-01A-01R-0851-07",61893496,"TP"
"TCGA-39-5040-11A-01R-2125-07",61892192,"NT"
"TCGA-60-2704-01A-11R-2045-07",61802267,"TP"
"TCGA-66-2758-01A-02R-0851-07",61579289,"TP"
"TCGA-60-2712-01A-01R-0851-07",61576306,"TP"
"TCGA-18-5592-01A-01R-1635-07",61550431,"TP"
"TCGA-56-7731-01A-11R-2125-07",61434686,"TP"
"TCGA-60-2722-01A-01R-0851-07",61355528,"TP"
"TCGA-18-3412-01A-01R-0980-07",61141217,"TP"
"TCGA-22-5471-01A-01R-1635-07",61132086,"TP"
"TCGA-51-4080-01A-01R-1100-07",61025703,"TP"
"TCGA-77-8009-01A-11R-2187-07",61012886,"TP"
"TCGA-22-A5C4-01A-12R-A27Q-07",61001527,"TP"
"TCGA-56-7822-01A-11R-2125-07",60942954,"TP"
"TCGA-77-7338-11A-01R-2045-07",60940540,"NT"
"TCGA-21-1076-01A-02R-0692-07",60926715,"TP"
"TCGA-66-2792-01A-01R-0980-07",60906534,"TP"
"TCGA-21-1082-01A-01R-A96U-41",60868505,"TP"
"TCGA-56-7580-11A-01R-2045-07",60831372,"NT"
"TCGA-66-2755-01A-01R-0851-07",60772492,"TP"
"TCGA-39-5029-01A-01R-1443-07",60670223,"TP"
"TCGA-90-7964-01A-21R-2187-07",60575827,"TP"
"TCGA-43-5670-01A-21R-2125-07",60538608,"TP"
"TCGA-77-7338-01A-11R-2045-07",60536620,"TP"
"TCGA-21-1072-01A-01R-0692-07",60437402,"TP"
"TCGA-56-7222-01A-11R-2045-07",60355564,"TP"
"TCGA-60-2695-01A-01R-0851-07",60322927,"TP"
"TCGA-34-5240-01A-01R-1443-07",60240638,"TP"
"TCGA-21-1075-01A-01R-0692-07",60220778,"TP"
"TCGA-66-2767-01A-01R-0851-07",60199141,"TP"
"TCGA-39-5028-01A-01R-1443-07",60155655,"TP"
"TCGA-39-5016-01A-01R-1443-07",60042643,"TP"
"TCGA-34-7107-11A-01R-1949-07",59851442,"NT"
"TCGA-43-2581-01A-01R-0851-07",59814967,"TP"
"TCGA-37-4141-01A-02R-1100-07",59545148,"TP"
"TCGA-66-2789-01A-01R-0980-07",59514981,"TP"
"TCGA-60-2724-01A-01R-0851-07",59485500,"TP"
"TCGA-77-7139-01A-11R-2045-07",59399727,"TP"
"TCGA-21-1070-01A-01R-A96U-41",59347980,"TP"
"TCGA-34-2596-01A-01R-0851-07",59068357,"TP"
"TCGA-66-2759-01A-01R-0851-07",59058739,"TP"
"TCGA-51-4079-01A-01R-1100-07",59051089,"TP"
"TCGA-66-2790-01A-01R-0980-07",59050991,"TP"
"TCGA-22-4607-01A-01R-1201-07",59050101,"TP"
"TCGA-60-2698-01A-01R-0851-07",58837371,"TP"
"TCGA-66-2788-01A-01R-0980-07",58710301,"TP"
"TCGA-18-3411-01A-01R-0980-07",58670156,"TP"
"TCGA-21-1077-01A-01R-0692-07",58623991,"TP"
"TCGA-66-2769-01A-02R-0851-07",58565625,"TP"
"TCGA-22-4605-01A-21R-2125-07",58432853,"TP"
"TCGA-94-7033-01A-11R-1949-07",58422950,"TP"
"TCGA-56-7580-01A-11R-2045-07",58397478,"TP"
"TCGA-43-3394-01A-01R-0980-07",58390320,"TP"
"TCGA-21-1076-01A-01R-0692-07",58354499,"TP"
"TCGA-66-2766-01A-01R-0851-07",58308774,"TP"
"TCGA-66-2778-01A-02R-0851-07",58304814,"TP"
"TCGA-NC-A5HT-01A-11R-A26W-07",58085762,"TP"
"TCGA-21-1082-01A-01R-0692-07",57943923,"TP"
"TCGA-33-6738-01A-11R-1949-07",57916962,"TP"
"TCGA-85-A53L-01A-21R-A26W-07",57900970,"TP"
"TCGA-37-A5EL-01A-11R-A26W-07",57772478,"TP"
"TCGA-85-7710-01A-11R-2125-07",57719268,"TP"
"TCGA-96-8169-01A-11R-2296-07",57688668,"TP"
"TCGA-NC-A5HK-01A-11R-A26W-07",57610440,"TP"
"TCGA-22-5472-01A-01R-1635-07",57571093,"TP"
"TCGA-85-6798-01A-11R-1949-07",57452314,"TP"
"TCGA-37-3792-01A-01R-0980-07",57425587,"TP"
"TCGA-18-4086-01A-01R-1100-07",57347167,"TP"
"TCGA-56-A62T-01A-11R-A405-07",57219805,"TP"
"TCGA-77-7142-01A-11R-2045-07",57201154,"TP"
"TCGA-60-2706-01A-01R-0851-07",57087360,"TP"
"TCGA-21-5784-01A-01R-1635-07",57006440,"TP"
"TCGA-60-2721-01A-01R-0851-07",56981892,"TP"
"TCGA-46-3769-01A-01R-0980-07",56917308,"TP"
"TCGA-60-2696-01A-01R-0851-07",56706800,"TP"
"TCGA-66-2785-01A-01R-0851-07",56686075,"TP"
"TCGA-60-2708-01A-01R-0851-07",56678428,"TP"
"TCGA-66-2737-01A-01R-0980-07",56479838,"TP"
"TCGA-85-7710-11A-01R-2125-07",56310152,"NT"
